Price,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,GLD,JPM,MSFT,NVDA,SPY,TLT,XOM,AAPL,GLD,JPM,MSFT,NVDA,SPY,TLT,XOM,AAPL,GLD,JPM,MSFT,NVDA,SPY,TLT,XOM,AAPL,GLD,JPM,MSFT,NVDA,SPY,TLT,XOM,AAPL,GLD,JPM,MSFT,NVDA,SPY,TLT,XOM,AAPL,GLD,JPM,MSFT,NVDA,SPY,TLT,XOM
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,24.19260597229004,114.08000183105469,46.0667839050293,39.681739807128906,0.4829852283000946,169.68785095214844,92.6592788696289,57.14556121826172,27.332500457763672,114.08000183105469,62.4900016784668,46.7599983215332,0.503250002861023,205.42999267578125,127.31999969482422,92.83000183105469,27.860000610351562,114.80000305175781,62.959999084472656,47.41999816894531,0.5070000290870667,206.8800048828125,127.66000366210938,93.05000305175781,26.837499618530273,112.31999969482422,62.06999969482422,46.540000915527344,0.49524998664855957,204.17999267578125,126.1500015258789,91.80999755859375,27.84749984741211,112.48999786376953,62.18000030517578,46.65999984741211,0.503250002861023,206.3800048828125,126.29000091552734,92.25,212818400,7109600,12600000,27913900,113680000,121465900,9432000,10220400
2015-01-05,23.511058807373047,115.80000305175781,44.63664627075195,39.31682586669922,0.47482752799987793,166.62332153320312,94.11479949951172,55.58195114135742,26.5625,115.80000305175781,60.54999923706055,46.33000183105469,0.4947499930858612,201.72000122070312,129.32000732421875,90.29000091552734,27.162500381469727,116.0,62.279998779296875,46.72999954223633,0.5047500133514404,204.3699951171875,129.6300048828125,92.4000015258789,26.352500915527344,114.7300033569336,60.22999954223633,46.25,0.4925000071525574,201.35000610351562,127.95999908447266,89.5,27.072500228881836,114.77999877929688,62.060001373291016,46.369998931884766,0.503250002861023,204.1699981689453,128.00999450683594,92.0999984741211,257142000,8177400,20100600,39673900,197952000,169632600,9789500,18502400
2015-01-06,23.513269424438477,117.12000274658203,43.479270935058594,38.73976135253906,0.46043160557746887,165.05393981933594,95.81048583984375,55.28647232055664,26.565000534057617,117.12000274658203,58.97999954223633,45.650001525878906,0.47975000739097595,199.82000732421875,131.64999389648438,89.80999755859375,26.857500076293945,117.5,60.75,46.75,0.4959999918937683,202.72000122070312,132.49000549316406,91.41000366210938,26.157499313354492,115.80000305175781,58.349998474121094,45.540000915527344,0.4792500138282776,198.86000061035156,130.19000244140625,89.0199966430664,26.635000228881836,116.22000122070312,60.63999938964844,46.380001068115234,0.49549999833106995,202.08999633789062,130.6999969482422,90.23999786376953,263188400,11238300,29074100,36447900,197764000,209151400,18331300,16670700
2015-01-07,23.84297752380371,116.43000030517578,43.54560470581055,39.231964111328125,0.4592318534851074,167.11068725585938,95.62129211425781,55.846656799316406,26.9375,116.43000030517578,59.06999969482422,46.22999954223633,0.47850000858306885,202.30999755859375,131.38999938964844,90.72000122070312,27.049999237060547,116.87999725341797,59.88999938964844,46.459999084472656,0.48750001192092896,202.72000122070312,131.97000122070312,91.4800033569336,26.674999237060547,116.16999816894531,58.66999816894531,45.4900016784668,0.47699999809265137,200.8800048828125,130.1699981689453,90.0,26.799999237060547,116.47000122070312,59.88999938964844,45.97999954223633,0.4832499921321869,201.4199981689453,130.6999969482422,90.6500015258789,160423600,6434200,23843200,29114100,321808000,125346700,9762900,13590700
2015-01-08,24.759078979492188,115.94000244140625,44.518680572509766,40.386104583740234,0.4765070378780365,170.07603454589844,94.35497283935547,56.77620315551758,27.97249984741211,115.94000244140625,60.38999938964844,47.59000015258789,0.4964999854564667,205.89999389648438,129.64999389648438,92.2300033569336,28.037500381469727,116.87000274658203,60.900001525878906,47.75,0.49950000643730164,206.16000366210938,130.3699951171875,92.2699966430664,27.174999237060547,115.8499984741211,59.970001220703125,46.720001220703125,0.48374998569488525,203.99000549316406,129.4199981689453,91.0,27.3075008392334,116.44999694824219,59.970001220703125,46.75,0.48399999737739563,204.00999450683594,130.36000061035156,91.25,237458000,7033700,16971100,29645200,283780000,147217800,8055300,15487500
2015-01-09,24.78563690185547,117.26000213623047,43.744632720947266,40.04664611816406,0.47842660546302795,168.7131805419922,95.38838958740234,56.6961555480957,28.002500534057617,117.26000213623047,59.34000015258789,47.189998626708984,0.4984999895095825,204.25,131.07000732421875,92.0999984741211,28.3125,117.33999633789062,60.790000915527344,47.81999969482422,0.5022500157356262,206.4199981689453,131.11000061035156,92.77999877929688,27.552499771118164,116.5,59.290000915527344,46.900001525878906,0.49149999022483826,203.50999450683594,129.0399932861328,91.37000274658203,28.167499542236328,116.51000213623047,60.720001220703125,47.61000061035156,0.49825000762939453,206.39999389648438,129.1999969482422,92.30000305175781,214798000,7962900,15396200,23944200,209540000,158567300,9398800,14488400
2015-01-12,24.174901962280273,118.55999755859375,43.36867904663086,39.54597091674805,0.47242820262908936,167.39149475097656,95.93423461914062,55.6065788269043,27.3125,118.55999755859375,58.83000183105469,46.599998474121094,0.492249995470047,202.64999389648438,131.82000732421875,90.33000183105469,28.157499313354492,118.70999908447266,59.400001525878906,47.540000915527344,0.5,204.60000610351562,132.30999755859375,91.33999633789062,27.200000762939453,117.31999969482422,58.27000045776367,46.36000061035156,0.48774999380111694,201.9199981689453,130.9199981689453,89.81999969482422,28.149999618530273,117.45999908447266,59.279998779296875,47.41999816894531,0.4997499883174896,204.41000366210938,131.0,91.23999786376953,198603200,8318200,15455200,23651900,190732000,144396100,6658100,15176300
2015-01-13,24.389545440673828,118.16000366210938,43.376068115234375,39.342288970947266,0.4717083275318146,166.9207000732422,95.93423461914062,55.40341567993164,27.55500030517578,118.16000366210938,58.84000015258789,46.36000061035156,0.49149999022483826,202.0800018310547,131.82000732421875,90.0,28.200000762939453,119.19000244140625,59.70000076293945,47.90999984741211,0.5059999823570251,205.47999572753906,132.61000061035156,91.43000030517578,27.227500915527344,117.87000274658203,58.369998931884766,46.060001373291016,0.4880000054836273,200.50999450683594,131.13999938964844,89.11000061035156,27.857500076293945,118.95999908447266,59.2599983215332,46.970001220703125,0.4959999918937683,204.1199951171875,131.38999938964844,90.87999725341797,268367600,7693200,21644700,35270600,236720000,214553300,8260800,17469000
2015-01-14,24.296607971191406,117.97000122070312,41.87957000732422,39.002845764160156,0.4736277461051941,165.91294860839844,96.66204833984375,55.24335861206055,27.450000762939453,117.97000122070312,56.810001373291016,45.959999084472656,0.4934999942779541,200.86000061035156,132.82000732421875,89.73999786376953,27.622499465942383,119.31999969482422,58.84000015258789,46.2400016784668,0.4950000047683716,201.10000610351562,134.1199951171875,89.88999938964844,27.125,117.9000015258789,55.27000045776367,45.619998931884766,0.48500001430511475,198.57000732421875,132.6999969482422,87.26000213623047,27.260000228881836,119.08000183105469,58.84000015258789,45.959999084472656,0.48625001311302185,199.64999389648438,133.72000122070312,88.94999694824219,195826400,7727400,49602300,29719600,155260000,192991100,12324500,23272100
2015-01-15,23.637187957763672,120.94000244140625,40.537899017333984,38.59550476074219,0.4702688157558441,164.39309692382812,98.18297576904297,54.76318359375,26.704999923706055,120.94000244140625,54.9900016784668,45.47999954223633,0.49000000953674316,199.02000427246094,134.91000366210938,88.95999908447266,27.514999389648438,121.69999694824219,56.61000061035156,46.380001068115234,0.5,202.00999450683594,135.02999877929688,90.66000366210938,26.665000915527344,120.33999633789062,54.5,45.40999984741211,0.4897499978542328,198.8800048828125,132.67999267578125,88.51000213623047,27.5,120.41000366210938,55.72999954223633,46.220001220703125,0.4970000088214874,201.6300048828125,132.85000610351562,90.43000030517578,240056000,17692500,42458100,32750800,188932000,176613900,11454200,18759600
2015-01-16,23.45352554321289,122.5199966430664,41.2308464050293,39.24045944213867,0.47890642285346985,166.5490264892578,96.93130493164062,56.092891693115234,26.497499465942383,122.5199966430664,55.93000030517578,46.2400016784668,0.49900001287460327,201.6300048828125,133.19000244140625,91.12000274658203,26.895000457763672,123.1500015258789,56.0,46.279998779296875,0.49950000643730164,201.82000732421875,134.67999267578125,91.19000244140625,26.299999237060547,121.70999908447266,54.63999938964844,45.16999816894531,0.48774999380111694,198.5500030517578,133.02999877929688,88.9800033569336,26.75749969482422,121.7300033569336,54.65999984741211,45.310001373291016,0.4892500042915344,198.77000427246094,134.3300018310547,88.9800033569336,314053200,14428200,29368900,35695300,181512000,211879600,9390500,17713100
2015-01-20,24.057628631591797,124.19999694824219,41.068668365478516,39.36774826049805,0.48034608364105225,166.90411376953125,98.2194595336914,56.07439422607422,27.18000030517578,124.19999694824219,55.709999084472656,46.38999938964844,0.5005000233650208,202.05999755859375,134.9600067138672,91.08999633789062,27.24250030517578,124.5999984741211,56.38999938964844,46.650001525878906,0.5052499771118164,202.72000122070312,135.11000061035156,91.77999877929688,26.625,123.48999786376953,55.41999816894531,45.56999969482422,0.49424999952316284,200.1699981689453,134.07000732421875,90.37999725341797,26.959999084472656,123.62999725341797,56.040000915527344,46.29999923706055,0.5024999976158142,202.39999389648438,134.1300048828125,91.13999938964844,199599600,14968600,23477700,36161900,140308000,130991100,7758700,16761000
2015-01-21,24.241289138793945,124.2300033569336,41.201351165771484,38.968910217285156,0.4870641529560089,167.7467041015625,97.08406829833984,56.55457305908203,27.387500762939453,124.2300033569336,55.88999938964844,45.91999816894531,0.5074999928474426,203.0800018310547,133.39999389648438,91.87000274658203,27.764999389648438,125.33999633789062,56.41999816894531,46.13999938964844,0.5087500214576721,203.66000366210938,135.58999633789062,91.98999786376953,27.0674991607666,123.37000274658203,55.189998626708984,45.47999954223633,0.49424999952316284,200.94000244140625,132.9600067138672,91.01000213623047,27.237499237060547,125.18000030517578,55.45000076293945,45.939998626708984,0.49775001406669617,201.5,135.1999969482422,91.73999786376953,194303600,11082700,21842400,39081100,144780000,122942700,9803900,14276400
2015-01-22,24.871931076049805,125.2300033569336,42.45457458496094,39.9957275390625,0.49546200037002563,170.24130249023438,96.73478698730469,57.17018127441406,28.100000381469727,125.2300033569336,57.59000015258789,47.130001068115234,0.5162500143051147,206.10000610351562,132.9199981689453,92.87000274658203,28.11750030517578,125.58000183105469,57.72999954223633,47.13999938964844,0.5177500247955322,206.25999450683594,134.17999267578125,92.97000122070312,27.43000030517578,124.1500015258789,55.959999084472656,46.08000183105469,0.503250002861023,202.3300018310547,132.27999877929688,91.31999969482422,27.565000534057617,125.06999969482422,56.380001068115234,46.380001068115234,0.5084999799728394,203.99000549316406,134.0,92.30999755859375,215185600,10518400,31423500,35898000,159712000,174356000,10200000,13559000
2015-01-23,25.00027847290039,124.2300033569336,41.783721923828125,40.03816604614258,0.4969012141227722,169.30787658691406,98.08113098144531,55.951290130615234,28.2450008392334,124.2300033569336,56.68000030517578,47.18000030517578,0.5177500247955322,204.97000122070312,134.77000427246094,90.88999938964844,28.4375,124.5,57.869998931884766,47.38999938964844,0.518750011920929,206.10000610351562,135.1199951171875,92.4800033569336,27.88249969482422,123.3499984741211,56.65999984741211,46.79999923706055,0.512499988079071,204.80999755859375,134.14999389648438,90.79000091552734,28.075000762939453,124.43000030517578,57.720001220703125,47.36000061035156,0.5167499780654907,205.7899932861328,134.3000030517578,92.27999877929688,185859200,6270900,15458300,26211600,120416000,117516800,7334600,14706300
2015-01-26,25.02682876586914,122.98999786376953,41.85008239746094,39.893890380859375,0.49474188685417175,169.70437622070312,97.78277587890625,56.48685836791992,28.274999618530273,122.98999786376953,56.77000045776367,47.0099983215332,0.515500009059906,205.4499969482422,134.36000061035156,91.76000213623047,28.59000015258789,123.33999633789062,56.9900016784668,47.130001068115234,0.5180000066757202,205.55999755859375,135.19000244140625,91.94000244140625,28.200000762939453,122.5199966430664,56.20000076293945,46.2400016784668,0.5122500061988831,203.85000610351562,134.0500030517578,90.47000122070312,28.434999465942383,123.33000183105469,56.40999984741211,47.0,0.515500009059906,204.7100067138672,134.83999633789062,90.61000061035156,222460000,6768600,12577700,42525500,133240000,92009700,5966500,10672500
2015-01-27,24.150558471679688,124.4000015258789,41.42988586425781,36.20237350463867,0.47098854184150696,167.46588134765625,97.93560791015625,55.988243103027344,27.28499984741211,124.4000015258789,56.20000076293945,42.65999984741211,0.4907500147819519,202.74000549316406,134.57000732421875,90.94999694824219,28.1200008392334,124.63999938964844,56.61000061035156,43.20000076293945,0.5080000162124634,204.1199951171875,136.1300048828125,91.5999984741211,27.25749969482422,123.51000213623047,55.7599983215332,42.11000061035156,0.4897499978542328,201.74000549316406,134.14999389648438,90.5999984741211,28.104999542236328,123.55999755859375,56.04999923706055,42.95000076293945,0.5074999928474426,202.97000122070312,135.72999572753906,91.23999786376953,382274800,9584800,15220500,169164000,357948000,134044600,8079600,12301500
